"hardlink","Hardlink"
"convert_to","Convert to"
"enable_targeting","Enable Targeting"
"AND","AND"
"OR","OR"
"AND_NOT","AND NOT"
"create_a_variant_from_this_page","Create a new variant from the current page to provide a modified version"
"radius_in_km","Radius (km)"
"replace","Replace"
"redirect","Redirect"
"event","Event"
"code_snippet","Code-Snippet"
"browser","Browser"
"conditions","Conditions"
"problem_creating_new_target","There was a problem while creating a new target"
"enter_the_name_of_the_new_target","Enter the name of the new target"
"add_target","Add Target"
"targeting","Targeting"
"debug_admin_translations","Debug Admin-Translations (wrapped in +)"
"paste_inheritance","Paste (inheritance)"
"are_you_sure","Are you sure?"
"all_content_will_be_lost","All content will be lost"
"apply_new_master_document","Apply new master document"
"empty_content_master_content","Empty Content - This is useful after defining a new master document"
"content_master_document","Content-Master Document"
"overwrite","Overwrite"
"click_right_to_overwrite","Click right to overwrite"
"open_document_by_id","Open document by ID"
"open_asset_by_id","Open asset by ID"
"open_object_by_id","Open object by ID"
"please_enter_the_id_of_the_asset","Please enter the ID of the asset"
"please_enter_the_id_of_the_object","Please enter the ID of the object"
"please_enter_the_id_of_the_document","Please enter the ID of the document"
"open_by_id","Open by ID"
"element_not_found","Element not found"
"short_url","Short URL"
"width_and_height_must_be_an_even_number","width and height must be an even number"
"path_or_url_incl_http","Path or URL (also incl. http://)"
"no_matching_document_found_for","No matching document found for"
"open_document_by_url","Open document by URL"
"server_api_key","Server API-Key"
"browser_api_key","Browser API-Key"
"add_childs","Add Childs"
"url_incl_http","URL incl. http://"
"import_from_url","Import from URL"
"source_site","Source-Site"
"target_site","Target-Site"
"source_entire_url","Entire URL as Source"
"auto_reload","Auto-Reload"
"do_you_really_want_to_leave_the_editmode","Do you really want to leave the editmode (NO!)"
"or_specify_an_asset_image_below","or specify an asset image below"
"analytics_internalid","Identifiant interne GA"
"show_in_google_anaytics","Montrer dans Google Analytics"
"medium","Moyen"
"style","Style"
"foreground_color","Couleur de premier plan"
"background_color","Couleur d'arrière-plan"
"enter_the_name_of_the_new_qrcode","Entrez le nom du nouveau code QR"
"problem_creating_new_qrcode","Un problème est survenu durant la création du code QR"
"saved_successfully","Sauvegardé"
"qr_codes","Codes QR"
"add_qr_code","Ajouter un code QR"
"element","Element"
"notes","Notes"
"details_for_selected_event","Détails de l'élément sélectionné"
"fields","Champs"
"events","Evenements"
"analytics_settings_description","Pour garantir l'intégration complète de Google Analytics, veuillez configurer votre compte Google API Service dans les propriétés systèmes"
"webastertools_settings_description","To use the Google Webmaster Tools integration, please configure the Google API Service Account in System Settings"
